accuracy,loss,epoch
0.04820660129189491,3.9857170581817627,1
0.06341463327407837,3.8594982624053955,2
0.08034433424472809,3.723987102508545,3
0.10903874039649963,3.488442897796631,4
0.12625537812709808,3.3272197246551514,5
0.15954089164733887,3.150580644607544,6
0.1974174976348877,2.9345016479492188,7
0.20717360079288483,2.790900230407715,8
0.2516499161720276,2.5594875812530518,9
0.2926829159259796,2.4401237964630127,10
0.31621232628822327,2.244028091430664,11
0.3678622543811798,2.1071200370788574,12
0.3948349952697754,1.9911668300628662,13
0.42496412992477417,1.8636952638626099,14
0.4585365951061249,1.7578771114349365,15
0.48206600546836853,1.6626837253570557,16
0.5121951103210449,1.5327755212783813,17
0.5340028405189514,1.5036112070083618,18
0.5477761626243591,1.4377143383026123,19
0.5850788950920105,1.343799352645874,20
0.6031563878059387,1.2644269466400146,21
0.6183643937110901,1.2175195217132568,22
0.6344332695007324,1.1837061643600464,23
0.6542324423789978,1.113582968711853,24
0.6562410593032837,1.0973879098892212,25
0.6746054291725159,1.0244805812835693,26
0.6875179409980774,0.9788034558296204,27
0.7001434564590454,0.9642971754074097,28
0.7067431807518005,0.9013820290565491,29
0.7248206734657288,0.859102725982666,30
0.7236728668212891,0.8329863548278809,31
0.7408895492553711,0.8218755125999451,32
0.7581061720848083,0.7806174755096436,33
0.7664275169372559,0.7339893579483032,34
0.7629842162132263,0.7399375438690186,35
0.7819225192070007,0.7011127471923828,36
0.7862266898155212,0.6647517681121826,37
0.7882353067398071,0.6497215032577515,38
0.7968435883522034,0.6485045552253723,39
0.7936872243881226,0.638562798500061,40
0.8189383149147034,0.5747840404510498,41
0.8195121884346008,0.5781856775283813,42
0.8263988494873047,0.5657703280448914,43
0.8272596597671509,0.5388707518577576,44
0.8361549377441406,0.5350860953330994,45
0.8441894054412842,0.5112733244895935,46
0.8373027443885803,0.5179038643836975,47
0.838737428188324,0.509040355682373,48
0.8401721715927124,0.5017451047897339,49
0.8490674495697021,0.4699804484844208,50
